Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
4,Tue,2019-08-20,19:45 (13:45),Stevenage,,Bradford City,,The Lamex Stadium,,,
4,Tue,2019-08-20,19:45 (13:45),Macclesfield,,Morecambe,,Moss Rose Ground,,,
4,Tue,2019-08-20,19:45 (13:45),Port Vale,,FG Rovers,,Vale Park,,,
,,,,,,,,,,,
5,Sat,2019-08-24,15:00 (09:00),Newport County,,Crewe Alexandra,,Rodney Parade,,,
5,Sat,2019-08-24,15:00 (09:00),Carlisle United,,Salford City,,Brunton Park,,,
5,Sat,2019-08-24,15:00 (09:00),Grimsby Town,,Port Vale,,Blundell Park,,,
5,Sat,2019-08-24,15:00 (09:00),Colchester Utd,,Northampton,,JobServe Community Stadium,,,
5,Sat,2019-08-24,15:00 (09:00),Morecambe,,Exeter City,,Globe Arena,,,
5,Sat,2019-08-24,15:00 (09:00),Cambridge Utd,,Oldham Athletic,,The Abbey Stadium,,,
5,Sat,2019-08-24,15:00 (09:00),Mansfield Town,,Stevenage,,One Call Stadium,,,
5,Sat,2019-08-24,15:00 (09:00),Macclesfield,,Scunthorpe Utd,,Moss Rose Ground,,,
5,Sat,2019-08-24,15:00 (09:00),Cheltenham,,Swindon Town,,Jonny-Rocks Stadium,,,
5,Sat,2019-08-24,15:00 (09:00),Bradford City,,FG Rovers,,Northern Commercials Stadium,,,
5,Sat,2019-08-24,15:00 (09:00),Plymouth Argyle,,Walsall,,Home Park,,,
5,Sat,2019-08-24,15:00 (09:00),Leyton Orient,,Crawley Town,,Matchroom Stadium,,,
,,,,,,,,,,,
6,Sat,2019-08-31,15:00 (09:00),FG Rovers,,Newport County,,The New Lawn,,,
6,Sat,2019-08-31,15:00 (09:00),Northampton,,Plymouth Argyle,,Academy Stadium,,,
6,Sat,2019-08-31,15:00 (09:00),Exeter City,,Mansfield Town,,St. James' Park,,,
6,Sat,2019-08-31,15:00 (09:00),Salford City,,Leyton Orient,,The Peninsula Stadium,,,
6,Sat,2019-08-31,15:00 (09:00),Swindon Town,,Morecambe,,The Energy Check County Ground,,,
6,Sat,2019-08-31,15:00 (09:00),Scunthorpe Utd,,Carlisle United,,Glanford Park,,,
6,Sat,2019-08-31,15:00 (09:00),Port Vale,,Cambridge Utd,,Vale Park,,,
6,Sat,2019-08-31,15:00 (09:00),Stevenage,,Macclesfield,,The Lamex Stadium,,,
6,Sat,2019-08-31,15:00 (09:00),Crewe Alexandra,,Bradford City,,Alexandra Stadium,,,
6,Sat,2019-08-31,15:00 (09:00),Crawley Town,,Cheltenham,,Checkatrade.com Stadium,,,
6,Sat,2019-08-31,15:00 (09:00),Walsall,,Grimsby Town,,The Banks's Stadium,,,
6,Sat,2019-08-31,15:00 (09:00),Oldham Athletic,,Colchester Utd,,Boundary Park,,,
,,,,,,,,,,,
7,Sat,2019-09-07,15:00 (09:00),Macclesfield,,Crawley Town,,Moss Rose Ground,,,
7,Sat,2019-09-07,15:00 (09:00),Colchester Utd,,Walsall,,JobServe Community Stadium,,,
7,Sat,2019-09-07,15:00 (09:00),Plymouth Argyle,,Oldham Athletic,,Home Park,,,
7,Sat,2019-09-07,15:00 (09:00),Morecambe,,Salford City,,Globe Arena,,,
7,Sat,2019-09-07,15:00 (09:00),Leyton Orient,,Swindon Town,,Matchroom Stadium,,,
7,Sat,2019-09-07,15:00 (09:00),Grimsby Town,,Crewe Alexandra,,Blundell Park,,,
7,Sat,2019-09-07,15:00 (09:00),Cambridge Utd,,FG Rovers,,The Abbey Stadium,,,
7,Sat,2019-09-07,15:00 (09:00),Mansfield Town,,Scunthorpe Utd,,One Call Stadium,,,
7,Sat,2019-09-07,15:00 (09:00),Cheltenham,,Stevenage,,Jonny-Rocks Stadium,,,
7,Sat,2019-09-07,15:00 (09:00),Carlisle United,,Exeter City,,Brunton Park,,,
7,Sat,2019-09-07,15:00 (09:00),Bradford City,,Northampton,,Northern Commercials Stadium,,,
7,Sat,2019-09-07,15:00 (09:00),Newport County,,Port Vale,,Rodney Parade,,,
,,,,,,,,,,,
8,Fri,2019-09-13,,Northampton,,Newport County,,Academy Stadium,,,
8,Fri,2019-09-13,,Port Vale,,Plymouth Argyle,,Vale Park,,,
8,Fri,2019-09-13,,FG Rovers,,Colchester Utd,,The New Lawn,,,
8,Fri,2019-09-13,,Stevenage,,Carlisle United,,The Lamex Stadium,,,
8,Fri,2019-09-13,,Swindon Town,,Macclesfield,,The Energy Check County Ground,,,
8,Fri,2019-09-13,,Scunthorpe Utd,,Morecambe,,Glanford Park,,,
8,Fri,2019-09-13,,Walsall,,Bradford City,,The Banks's Stadium,,,
8,Fri,2019-09-13,,Oldham Athletic,,Grimsby Town,,Boundary Park,,,
8,Fri,2019-09-13,,Crawley Town,,Mansfield Town,,Checkatrade.com Stadium,,,
8,Fri,2019-09-13,,Exeter City,,Leyton Orient,,St. James' Park,,,
8,Fri,2019-09-13,,Salford City,,Cheltenham,,The Peninsula Stadium,,,
8,Fri,2019-09-13,,Crewe Alexandra,,Cambridge Utd,,Alexandra Stadium,,,
,,,,,,,,,,,
9,Mon,2019-09-16,,Carlisle United,,FG Rovers,,Brunton Park,,,
9,Mon,2019-09-16,,Swindon Town,,Colchester Utd,,The Energy Check County Ground,,,
9,Mon,2019-09-16,,Exeter City,,Port Vale,,St. James' Park,,,
9,Mon,2019-09-16,,Crawley Town,,Plymouth Argyle,,Checkatrade.com Stadium,,,
9,Mon,2019-09-16,,Stevenage,,Northampton,,The Lamex Stadium,,,
9,Mon,2019-09-16,,Cheltenham,,Bradford City,,Jonny-Rocks Stadium,,,
9,Mon,2019-09-16,,Macclesfield,,Newport County,,Moss Rose Ground,,,
9,Mon,2019-09-16,,Salford City,,Grimsby Town,,The Peninsula Stadium,,,
9,Mon,2019-09-16,,Morecambe,,Walsall,,Globe Arena,,,
9,Mon,2019-09-16,,Scunthorpe Utd,,Oldham Athletic,,Glanford Park,,,
9,Mon,2019-09-16,,Leyton Orient,,Crewe Alexandra,,Matchroom Stadium,,,
9,Mon,2019-09-16,,Mansfield Town,,Cambridge Utd,,One Call Stadium,,,
,,,,,,,,,,,
10,Fri,2019-09-20,,Oldham Athletic,,Morecambe,,Boundary Park,,,
10,Fri,2019-09-20,,Cambridge Utd,,Swindon Town,,The Abbey Stadium,,,
10,Fri,2019-09-20,,Bradford City,,Carlisle United,,Northern Commercials Stadium,,,
10,Fri,2019-09-20,,Colchester Utd,,Leyton Orient,,JobServe Community Stadium,,,
10,Fri,2019-09-20,,Grimsby Town,,Macclesfield,,Blundell Park,,,
10,Fri,2019-09-20,,Plymouth Argyle,,Cheltenham,,Home Park,,,
10,Fri,2019-09-20,,Walsall,,Scunthorpe Utd,,The Banks's Stadium,,,
10,Fri,2019-09-20,,Crewe Alexandra,,Salford City,,Alexandra Stadium,,,
10,Fri,2019-09-20,,Port Vale,,Mansfield Town,,Vale Park,,,
10,Fri,2019-09-20,,Northampton,,Crawley Town,,Academy Stadium,,,
10,Fri,2019-09-20,,Newport County,,Exeter City,,Rodney Parade,,,
10,Fri,2019-09-20,,FG Rovers,,Stevenage,,The New Lawn,,,
,,,,,,,,,,,
11,Fri,2019-09-27,,Swindon Town,,Newport County,,The Energy Check County Ground,,,
11,Fri,2019-09-27,,Crawley Town,,Walsall,,Checkatrade.com Stadium,,,
11,Fri,2019-09-27,,Leyton Orient,,Port Vale,,Matchroom Stadium,,,
11,Fri,2019-09-27,,Exeter City,,Grimsby Town,,St. James' Park,,,
11,Fri,2019-09-27,,Salford City,,FG Rovers,,The Peninsula Stadium,,,
11,Fri,2019-09-27,,Macclesfield,,Colchester Utd,,Moss Rose Ground,,,
11,Fri,2019-09-27,,Morecambe,,Northampton,,Globe Arena,,,
11,Fri,2019-09-27,,Carlisle United,,Oldham Athletic,,Brunton Park,,,
11,Fri,2019-09-27,,Mansfield Town,,Plymouth Argyle,,One Call Stadium,,,
11,Fri,2019-09-27,,Scunthorpe Utd,,Bradford City,,Glanford Park,,,
11,Fri,2019-09-27,,Cheltenham,,Crewe Alexandra,,Jonny-Rocks Stadium,,,
11,Fri,2019-09-27,,Stevenage,,Cambridge Utd,,The Lamex Stadium,,,
,,,,,,,,,,,
12,Fri,2019-10-04,,Walsall,,Salford City,,The Banks's Stadium,,,
12,Fri,2019-10-04,,Port Vale,,Morecambe,,Vale Park,,,
12,Fri,2019-10-04,,Plymouth Argyle,,Scunthorpe Utd,,Home Park,,,
12,Fri,2019-10-04,,Cambridge Utd,,Macclesfield,,The Abbey Stadium,,,
12,Fri,2019-10-04,,FG Rovers,,Crawley Town,,The New Lawn,,,
12,Fri,2019-10-04,,Newport County,,Carlisle United,,Rodney Parade,,,
12,Fri,2019-10-04,,Bradford City,,Swindon Town,,Northern Commercials Stadium,,,
12,Fri,2019-10-04,,Grimsby Town,,Mansfield Town,,Blundell Park,,,
12,Fri,2019-10-04,,Crewe Alexandra,,Exeter City,,Alexandra Stadium,,,
12,Fri,2019-10-04,,Colchester Utd,,Stevenage,,JobServe Community Stadium,,,
12,Fri,2019-10-04,,Northampton,,Leyton Orient,,Academy Stadium,,,
12,Fri,2019-10-04,,Oldham Athletic,,Cheltenham,,Boundary Park,,,
,,,,,,,,,,,
13,Fri,2019-10-11,,Mansfield Town,,Oldham Athletic,,One Call Stadium,,,
13,Fri,2019-10-11,,Leyton Orient,,Walsall,,Matchroom Stadium,,,
13,Fri,2019-10-11,,Morecambe,,Bradford City,,Globe Arena,,,
13,Fri,2019-10-11,,Salford City,,Cambridge Utd,,The Peninsula Stadium,,,
13,Fri,2019-10-11,,Macclesfield,,Port Vale,,Moss Rose Ground,,,
13,Fri,2019-10-11,,Exeter City,,FG Rovers,,St. James' Park,,,
13,Fri,2019-10-11,,Scunthorpe Utd,,Northampton,,Glanford Park,,,
13,Fri,2019-10-11,,Cheltenham,,Newport County,,Jonny-Rocks Stadium,,,
13,Fri,2019-10-11,,Swindon Town,,Plymouth Argyle,,The Energy Check County Ground,,,
13,Fri,2019-10-11,,Carlisle United,,Crewe Alexandra,,Brunton Park,,,
13,Fri,2019-10-11,,Stevenage,,Grimsby Town,,The Lamex Stadium,,,
13,Fri,2019-10-11,,Crawley Town,,Colchester Utd,,Checkatrade.com Stadium,,,
,,,,,,,,,,,
14,Fri,2019-10-18,,Port Vale,,Stevenage,,Vale Park,,,
14,Fri,2019-10-18,,Bradford City,,Crawley Town,,Northern Commercials Stadium,,,
14,Fri,2019-10-18,,Northampton,,Salford City,,Academy Stadium,,,
14,Fri,2019-10-18,,Grimsby Town,,Leyton Orient,,Blundell Park,,,
14,Fri,2019-10-18,,Crewe Alexandra,,Swindon Town,,Alexandra Stadium,,,
14,Fri,2019-10-18,,Colchester Utd,,Morecambe,,JobServe Community Stadium,,,
14,Fri,2019-10-18,,Newport County,,Scunthorpe Utd,,Rodney Parade,,,
14,Fri,2019-10-18,,Plymouth Argyle,,Carlisle United,,Home Park,,,
14,Fri,2019-10-18,,Walsall,,Cheltenham,,The Banks's Stadium,,,
14,Fri,2019-10-18,,Oldham Athletic,,Macclesfield,,Boundary Park,,,
14,Fri,2019-10-18,,Cambridge Utd,,Exeter City,,The Abbey Stadium,,,
14,Fri,2019-10-18,,FG Rovers,,Mansfield Town,,The New Lawn,,,
,,,,,,,,,,,
15,Mon,2019-10-21,,Oldham Athletic,,Walsall,,Boundary Park,,,
15,Mon,2019-10-21,,Newport County,,Crawley Town,,Rodney Parade,,,
15,Mon,2019-10-21,,Morecambe,,FG Rovers,,Globe Arena,,,
15,Mon,2019-10-21,,Cambridge Utd,,Grimsby Town,,The Abbey Stadium,,,
15,Mon,2019-10-21,,Carlisle United,,Northampton,,Brunton Park,,,
15,Mon,2019-10-21,,Mansfield Town,,Salford City,,One Call Stadium,,,
15,Mon,2019-10-21,,Cheltenham,,Macclesfield,,Jonny-Rocks Stadium,,,
15,Mon,2019-10-21,,Plymouth Argyle,,Leyton Orient,,Home Park,,,
15,Mon,2019-10-21,,Swindon Town,,Stevenage,,The Energy Check County Ground,,,
15,Mon,2019-10-21,,Scunthorpe Utd,,Exeter City,,Glanford Park,,,
15,Mon,2019-10-21,,Bradford City,,Port Vale,,Northern Commercials Stadium,,,
15,Mon,2019-10-21,,Crewe Alexandra,,Colchester Utd,,Alexandra Stadium,,,
,,,,,,,,,,,
16,Fri,2019-10-25,,Exeter City,,Plymouth Argyle,,St. James' Park,,,
16,Fri,2019-10-25,,Walsall,,Mansfield Town,,The Banks's Stadium,,,
16,Fri,2019-10-25,,Macclesfield,,Bradford City,,Moss Rose Ground,,,
16,Fri,2019-10-25,,Leyton Orient,,Carlisle United,,Matchroom Stadium,,,
16,Fri,2019-10-25,,Crawley Town,,Swindon Town,,Checkatrade.com Stadium,,,
16,Fri,2019-10-25,,Northampton,,Cambridge Utd,,Academy Stadium,,,
16,Fri,2019-10-25,,FG Rovers,,Crewe Alexandra,,The New Lawn,,,
16,Fri,2019-10-25,,Salford City,,Scunthorpe Utd,,The Peninsula Stadium,,,
16,Fri,2019-10-25,,Stevenage,,Morecambe,,The Lamex Stadium,,,
16,Fri,2019-10-25,,Port Vale,,Oldham Athletic,,Vale Park,,,
16,Fri,2019-10-25,,Grimsby Town,,Cheltenham,,Blundell Park,,,
16,Fri,2019-10-25,,Colchester Utd,,Newport County,,JobServe Community Stadium,,,
,,,,,,,,,,,
17,Fri,2019-11-01,,Cambridge Utd,,Crawley Town,,The Abbey Stadium,,,
17,Fri,2019-11-01,,Bradford City,,Exeter City,,Northern Commercials Stadium,,,
17,Fri,2019-11-01,,Oldham Athletic,,Northampton,,Boundary Park,,,
17,Fri,2019-11-01,,Morecambe,,Leyton Orient,,Globe Arena,,,
17,Fri,2019-11-01,,Newport County,,Salford City,,Rodney Parade,,,
17,Fri,2019-11-01,,Mansfield Town,,Colchester Utd,,One Call Stadium,,,
17,Fri,2019-11-01,,Scunthorpe Utd,,Stevenage,,Glanford Park,,,
17,Fri,2019-11-01,,Plymouth Argyle,,Grimsby Town,,Home Park,,,
17,Fri,2019-11-01,,Carlisle United,,Macclesfield,,Brunton Park,,,
17,Fri,2019-11-01,,Swindon Town,,Walsall,,The Energy Check County Ground,,,
17,Fri,2019-11-01,,Crewe Alexandra,,Port Vale,,Alexandra Stadium,,,
17,Fri,2019-11-01,,Cheltenham,,FG Rovers,,Jonny-Rocks Stadium,,,
,,,,,,,,,,,
18,Fri,2019-11-15,,Colchester Utd,,Bradford City,,JobServe Community Stadium,,,
18,Fri,2019-11-15,,Stevenage,,Oldham Athletic,,The Lamex Stadium,,,
18,Fri,2019-11-15,,Leyton Orient,,Scunthorpe Utd,,Matchroom Stadium,,,
18,Fri,2019-11-15,,Exeter City,,Cheltenham,,St. James' Park,,,
18,Fri,2019-11-15,,Crawley Town,,Morecambe,,Checkatrade.com Stadium,,,
18,Fri,2019-11-15,,Salford City,,Swindon Town,,The Peninsula Stadium,,,
18,Fri,2019-11-15,,Northampton,,Crewe Alexandra,,Academy Stadium,,,
18,Fri,2019-11-15,,Grimsby Town,,Newport County,,Blundell Park,,,
18,Fri,2019-11-15,,Port Vale,,Carlisle United,,Vale Park,,,
18,Fri,2019-11-15,,FG Rovers,,Plymouth Argyle,,The New Lawn,,,
18,Fri,2019-11-15,,Macclesfield,,Mansfield Town,,Moss Rose Ground,,,
18,Fri,2019-11-15,,Walsall,,Cambridge Utd,,The Banks's Stadium,,,
,,,,,,,,,,,
19,Fri,2019-11-22,,Salford City,,Macclesfield,,The Peninsula Stadium,,,
19,Fri,2019-11-22,,Carlisle United,,Cambridge Utd,,Brunton Park,,,
19,Fri,2019-11-22,,Plymouth Argyle,,Bradford City,,Home Park,,,
19,Fri,2019-11-22,,Northampton,,Grimsby Town,,Academy Stadium,,,
19,Fri,2019-11-22,,Scunthorpe Utd,,Port Vale,,Glanford Park,,,
19,Fri,2019-11-22,,Newport County,,Oldham Athletic,,Rodney Parade,,,
19,Fri,2019-11-22,,Walsall,,Stevenage,,The Banks's Stadium,,,
19,Fri,2019-11-22,,Crewe Alexandra,,Morecambe,,Alexandra Stadium,,,
19,Fri,2019-11-22,,Crawley Town,,Exeter City,,Checkatrade.com Stadium,,,
19,Fri,2019-11-22,,Swindon Town,,Mansfield Town,,The Energy Check County Ground,,,
19,Fri,2019-11-22,,Cheltenham,,Colchester Utd,,Jonny-Rocks Stadium,,,
19,Fri,2019-11-22,,Leyton Orient,,FG Rovers,,Matchroom Stadium,,,
,,,,,,,,,,,
20,Fri,2019-12-06,,Oldham Athletic,,Leyton Orient,,Boundary Park,,,
20,Fri,2019-12-06,,Macclesfield,,Crewe Alexandra,,Moss Rose Ground,,,
20,Fri,2019-12-06,,Exeter City,,Northampton,,St. James' Park,,,
20,Fri,2019-12-06,,Port Vale,,Walsall,,Vale Park,,,
20,Fri,2019-12-06,,Colchester Utd,,Salford City,,JobServe Community Stadium,,,
20,Fri,2019-12-06,,Bradford City,,Newport County,,Northern Commercials Stadium,,,
20,Fri,2019-12-06,,Grimsby Town,,Swindon Town,,Blundell Park,,,
20,Fri,2019-12-06,,Morecambe,,Carlisle United,,Globe Arena,,,
20,Fri,2019-12-06,,Mansfield Town,,Cheltenham,,One Call Stadium,,,
20,Fri,2019-12-06,,Stevenage,,Crawley Town,,The Lamex Stadium,,,
20,Fri,2019-12-06,,Cambridge Utd,,Plymouth Argyle,,The Abbey Stadium,,,
20,Fri,2019-12-06,,FG Rovers,,Scunthorpe Utd,,The New Lawn,,,
,,,,,,,,,,,
21,Fri,2019-12-13,,Newport County,,Stevenage,,Rodney Parade,,,
21,Fri,2019-12-13,,Carlisle United,,Grimsby Town,,Brunton Park,,,
21,Fri,2019-12-13,,Scunthorpe Utd,,Colchester Utd,,Glanford Park,,,
21,Fri,2019-12-13,,Salford City,,Exeter City,,The Peninsula Stadium,,,
21,Fri,2019-12-13,,Northampton,,FG Rovers,,Academy Stadium,,,
21,Fri,2019-12-13,,Crawley Town,,Port Vale,,Checkatrade.com Stadium,,,
21,Fri,2019-12-13,,Plymouth Argyle,,Morecambe,,Home Park,,,
21,Fri,2019-12-13,,Swindon Town,,Oldham Athletic,,The Energy Check County Ground,,,
21,Fri,2019-12-13,,Walsall,,Macclesfield,,The Banks's Stadium,,,
21,Fri,2019-12-13,,Cheltenham,,Cambridge Utd,,Jonny-Rocks Stadium,,,
21,Fri,2019-12-13,,Leyton Orient,,Bradford City,,Matchroom Stadium,,,
21,Fri,2019-12-13,,Crewe Alexandra,,Mansfield Town,,Alexandra Stadium,,,
,,,,,,,,,,,
22,Fri,2019-12-20,,Port Vale,,Cheltenham,,Vale Park,,,
22,Fri,2019-12-20,,Mansfield Town,,Northampton,,One Call Stadium,,,
22,Fri,2019-12-20,,Cambridge Utd,,Leyton Orient,,The Abbey Stadium,,,
22,Fri,2019-12-20,,Bradford City,,Salford City,,Northern Commercials Stadium,,,
22,Fri,2019-12-20,,Morecambe,,Newport County,,Globe Arena,,,
22,Fri,2019-12-20,,Grimsby Town,,Scunthorpe Utd,,Blundell Park,,,
22,Fri,2019-12-20,,Oldham Athletic,,Crawley Town,,Boundary Park,,,
22,Fri,2019-12-20,,FG Rovers,,Swindon Town,,The New Lawn,,,
22,Fri,2019-12-20,,Exeter City,,Walsall,,St. James' Park,,,
22,Fri,2019-12-20,,Stevenage,,Crewe Alexandra,,The Lamex Stadium,,,
22,Fri,2019-12-20,,Macclesfield,,Plymouth Argyle,,Moss Rose Ground,,,
22,Fri,2019-12-20,,Colchester Utd,,Carlisle United,,JobServe Community Stadium,,,
,,,,,,,,,,,
23,Wed,2019-12-25,,Crawley Town,,Northampton,,Checkatrade.com Stadium,,,
23,Wed,2019-12-25,,Exeter City,,Newport County,,St. James' Park,,,
23,Wed,2019-12-25,,Scunthorpe Utd,,Walsall,,Glanford Park,,,
23,Wed,2019-12-25,,Leyton Orient,,Colchester Utd,,Matchroom Stadium,,,
23,Wed,2019-12-25,,Macclesfield,,Grimsby Town,,Moss Rose Ground,,,
23,Wed,2019-12-25,,Morecambe,,Oldham Athletic,,Globe Arena,,,
23,Wed,2019-12-25,,Carlisle United,,Bradford City,,Brunton Park,,,
23,Wed,2019-12-25,,Swindon Town,,Cambridge Utd,,The Energy Check County Ground,,,
23,Wed,2019-12-25,,Salford City,,Crewe Alexandra,,The Peninsula Stadium,,,
23,Wed,2019-12-25,,Stevenage,,FG Rovers,,The Lamex Stadium,,,
23,Wed,2019-12-25,,Cheltenham,,Plymouth Argyle,,Jonny-Rocks Stadium,,,
23,Wed,2019-12-25,,Mansfield Town,,Port Vale,,One Call Stadium,,,
,,,,,,,,,,,
24,Sat,2019-12-28,,Bradford City,,Mansfield Town,,Northern Commercials Stadium,,,
24,Sat,2019-12-28,,Crewe Alexandra,,Scunthorpe Utd,,Alexandra Stadium,,,
24,Sat,2019-12-28,,Northampton,,Cheltenham,,Academy Stadium,,,
24,Sat,2019-12-28,,Newport County,,Leyton Orient,,Rodney Parade,,,
24,Sat,2019-12-28,,Grimsby Town,,Crawley Town,,Blundell Park,,,
24,Sat,2019-12-28,,Colchester Utd,,Exeter City,,JobServe Community Stadium,,,
24,Sat,2019-12-28,,Walsall,,Carlisle United,,The Banks's Stadium,,,
24,Sat,2019-12-28,,Port Vale,,Swindon Town,,Vale Park,,,
24,Sat,2019-12-28,,FG Rovers,,Macclesfield,,The New Lawn,,,
24,Sat,2019-12-28,,Cambridge Utd,,Morecambe,,The Abbey Stadium,,,
24,Sat,2019-12-28,,Plymouth Argyle,,Stevenage,,Home Park,,,
24,Sat,2019-12-28,,Oldham Athletic,,Salford City,,Boundary Park,,,
,,,,,,,,,,,
25,Tue,2019-12-31,,Cambridge Utd,,Mansfield Town,,The Abbey Stadium,,,
25,Tue,2019-12-31,,Newport County,,Cheltenham,,Rodney Parade,,,
25,Tue,2019-12-31,,Plymouth Argyle,,Swindon Town,,Home Park,,,
25,Tue,2019-12-31,,Colchester Utd,,Crawley Town,,JobServe Community Stadium,,,
25,Tue,2019-12-31,,Oldham Athletic,,Scunthorpe Utd,,Boundary Park,,,
25,Tue,2019-12-31,,Crewe Alexandra,,Carlisle United,,Alexandra Stadium,,,
25,Tue,2019-12-31,,Walsall,,Leyton Orient,,The Banks's Stadium,,,
25,Tue,2019-12-31,,Northampton,,Stevenage,,Academy Stadium,,,
25,Tue,2019-12-31,,FG Rovers,,Exeter City,,The New Lawn,,,
25,Tue,2019-12-31,,Port Vale,,Macclesfield,,Vale Park,,,
25,Tue,2019-12-31,,Bradford City,,Morecambe,,Northern Commercials Stadium,,,
25,Tue,2019-12-31,,Grimsby Town,,Salford City,,Blundell Park,,,
,,,,,,,,,,,
26,Fri,2020-01-03,,Cheltenham,,Oldham Athletic,,Jonny-Rocks Stadium,,,
26,Fri,2020-01-03,,Scunthorpe Utd,,Plymouth Argyle,,Glanford Park,,,
26,Fri,2020-01-03,,Carlisle United,,Newport County,,Brunton Park,,,
26,Fri,2020-01-03,,Leyton Orient,,Northampton,,Matchroom Stadium,,,
26,Fri,2020-01-03,,Exeter City,,Crewe Alexandra,,St. James' Park,,,
